src,dst,dscp,size,latency
0,2,10,899266,1341917
0,2,10,9831,403416
0,2,10,206664,402542
0,2,10,52,367375
0,2,10,22432,242750
0,2,10,970678,1077417
0,2,10,137751,1115916
0,2,10,354,201334
0,2,10,834868,788041
0,2,10,683,554334
0,2,10,810,610916
0,2,10,2093,138959
0,2,10,936229,744792
0,2,10,742,616750
0,2,10,55816,183959
0,2,10,46,105834
0,2,10,857,336667
0,2,10,426370,423875
0,2,10,273607,452458
0,2,10,455083,505458
0,2,10,46143,506792
0,2,10,7011,144458
0,2,10,79041,271875
0,2,10,317,235125
0,2,10,8349,229917
0,2,10,55956,260334
0,2,10,466,150250
0,2,10,4312,170459
0,2,10,476274,450583
0,2,10,729151,602625
0,2,10,831,284083
0,2,10,7269,166042
0,2,10,3802,158583
0,2,10,1173,114583
0,2,10,80886,206708
0,2,10,203292,279917
0,2,10,583,124125
0,2,10,440,159625
0,2,10,959,151791
0,2,10,31620,144458
0,2,10,35762,129458
0,2,10,76361,238208
0,2,10,3582,179083
0,2,10,17733,135500
0,2,10,556382,461917
0,2,10,90002,250833
0,2,10,836,139875
0,2,10,712,126709
0,2,10,1535,230834
0,2,10,136,267375
0,2,10,1090,232083
0,2,10,99370,298959
0,2,10,96549,153750
0,2,10,2350,129667
0,2,10,32264,191250
0,2,10,1323,195667
0,2,10,96458,250750
0,2,10,9192,175000
0,2,10,506,183000
0,2,10,9974,149625
0,2,10,62712,188125
0,2,10,3749,153708
0,2,10,758,123791
0,2,10,989142,935542
0,2,10,5522,679625
0,2,10,585,302875
0,2,10,2801,277125
0,2,10,429573,482250
0,2,10,125,239709
0,2,10,239,227708
0,2,10,6956,139833
0,2,10,97544,191958
0,2,10,80,171917
0,2,10,3093,132458
0,2,10,5703,119917
0,2,10,27495,156958
0,2,10,300,181708
0,2,10,455,145417
0,2,10,24628,134250
0,2,10,996,219125
0,2,10,705,152458
0,2,10,1992,109500
0,2,10,4866,133000
0,2,10,206893,273917
0,2,10,2097,119500
0,2,10,244156,288792
0,2,10,521841,462375
